text_id,paper_discipline,level_cat,student_gender,speaker_status,paper_type,the,of,and,to,in,a,is,that,for,this,be,as,are,with,it,on,not,by,was,from,an,have,their,or,which,i,they,his,can,will,we,were,at,these,more,but,he,would,has,one,also,all,there,her,between,when,if,may,only,about
BIO.G2.06.1,Biology,G2,F,NNS,Proposal,39908.78,28506.27,29076.4,26795.9,22234.89,7411.63,13112.88,14253.14,7411.63,1710.38,14823.26,3420.75,4561,8551.88,12542.76,3420.75,3990.88,4561,0,1140.25,2850.63,1140.25,1140.25,5701.25,1140.25,0,5131.13,0,7981.76,17673.89,7981.76,0,1710.38,2280.5,570.13,2850.63,0,570.13,1710.38,1140.25,5131.13,0,1140.25,0,1140.25,0,16533.64,1710.38,570.13,0
BIO.G2.07.1,Biology,G2,M,NS,Report,48566.88,35828.03,34235.67,24681.53,22292.99,14331.21,16454.35,8227.18,13004.25,2919.32,12738.85,2653.93,6634.82,7696.39,5573.25,6634.82,4246.28,7165.61,796.18,5307.86,2653.93,4777.07,2123.14,5573.25,2919.32,0,1592.36,530.79,3184.71,2388.54,0,2388.54,2123.14,2123.14,2653.93,2919.32,0,6369.43,3715.5,2919.32,4246.28,2123.14,2123.14,0,530.79,796.18,2919.32,4511.68,1061.57,796.18
BIO.G3.01.1,Biology,G3,M,NS,ResearchPaper,69241.01,38615.18,11984.02,15978.7,28628.5,14647.14,6657.79,13315.58,14647.14,9986.68,4660.45,11984.02,7989.35,5992.01,6657.79,1997.34,9320.91,3994.67,13315.58,2663.12,6657.79,2663.12,6657.79,8655.13,5326.23,7323.57,5326.23,665.78,0,0,0,9320.91,5326.23,1997.34,3994.67,665.78,665.78,3328.89,1997.34,3328.89,665.78,1997.34,1997.34,665.78,1331.56,1997.34,6657.79,0,2663.12,0
BIO.G3.02.1,Biology,G3,F,NS,Proposal,44460.47,39413.6,36169.19,24152.85,24993.99,13818.79,10694.54,12737.32,4806.54,3845.23,6248.5,2763.76,7930.79,8171.11,4686.37,6128.33,3845.23,8531.6,1562.12,5287.19,1562.12,5287.19,2883.92,6248.5,3845.23,6849.32,3845.23,0,4325.88,3965.39,1321.8,1081.47,2643.6,3004.09,2283.11,1441.96,0,2523.43,3004.09,3484.74,3604.9,2523.43,3004.09,0,3364.58,600.82,2523.43,3124.25,1441.96,480.65
BIO.G3.03.1,Biology,G3,F,NS,Essay,83409.72,36663.61,31164.07,28414.3,26581.12,24747.94,18331.81,7332.72,11915.67,3666.36,13748.85,3666.36,16498.63,4582.95,2749.77,3666.36,3666.36,1833.18,916.59,1833.18,3666.36,916.59,1833.18,10082.49,1833.18,0,4582.95,0,8249.31,4582.95,0,0,0,3666.36,5499.54,2749.77,0,0,1833.18,916.59,3666.36,2749.77,1833.18,0,0,1833.18,916.59,1833.18,4582.95,916.59
CEE.G0.01.1,Civil and Environmental Engineering,G0,M,NS,Report,96834.26,39726.88,27312.23,25450.03,21725.64,17380.51,21725.64,1862.2,11793.92,12414.65,23587.83,4345.13,5586.59,8069.52,4345.13,5586.59,1862.2,4965.86,3103.66,3103.66,620.73,1862.2,0,3103.66,1241.46,1241.46,0,0,9310.99,2482.93,6828.06,5586.59,1862.2,1862.2,1241.46,0,0,620.73,2482.93,620.73,620.73,3103.66,2482.93,0,620.73,2482.93,1862.2,0,0,1241.46
CEE.G0.01.2,Civil and Environmental Engineering,G0,M,NS,ResearchPaper,92676.6,35644.85,28515.88,23331.17,15554.12,22683.08,13609.85,5832.79,9721.32,8425.15,16202.2,3240.44,3240.44,13609.85,6480.88,11017.5,1944.26,6480.88,7128.97,4536.62,2592.35,0,1296.18,1944.26,1296.18,0,0,0,8425.15,2592.35,9721.32,7128.97,1944.26,1296.18,648.09,0,0,0,2592.35,1296.18,3888.53,7128.97,648.09,0,648.09,2592.35,0,0,648.09,1944.26
CEE.G0.01.3,Civil and Environmental Engineering,G0,M,NS,ResearchPaper,86492.89,48578.2,23696.68,27251.18,23696.68,29620.85,13033.18,8293.84,11848.34,5924.17,20142.18,11848.34,7109,7109,2369.67,13033.18,1184.83,5924.17,5924.17,0,3554.5,4739.34,2369.67,0,1184.83,0,0,0,9478.67,4739.34,4739.34,7109,3554.5,1184.83,1184.83,0,0,0,1184.83,0,0,4739.34,0,0,0,0,0,0,0,0
CEE.G0.02.1,Civil and Environmental Engineering,G0,M,NS,Report,114259.6,53016.45,34734.92,24680.07,17367.46,12797.07,8226.69,3656.31,13711.15,914.08,10968.92,2742.23,4570.38,3656.31,2742.23,5484.46,1828.15,4570.38,20109.69,7312.61,2742.23,0,2742.23,1828.15,2742.23,0,0,914.08,1828.15,0,0,8226.69,1828.15,1828.15,1828.15,0,0,0,0,914.08,3656.31,4570.38,0,0,0,914.08,0,0,0,0
CEE.G0.03.1,Civil and Environmental Engineering,G0,M,NS,ResearchPaper,65731.17,28064.99,27326.44,25110.78,10339.73,19940.92,12555.39,6646.97,19940.92,17725.26,16248.15,2954.21,4431.31,5169.87,1477.1,4431.31,10339.73,2954.21,6646.97,3692.76,4431.31,5908.42,738.55,2954.21,5169.87,738.55,738.55,0,3692.76,3692.76,4431.31,7385.52,2954.21,8862.63,738.55,1477.1,0,738.55,4431.31,738.55,1477.1,2215.66,0,0,0,738.55,3692.76,5908.42,1477.1,0
